ID_Cliente,Nombre,Correo,Telefono,Direccion,Metodo_Pago_ID
CLI00143,Sr(a). Pilar Rosales,raulmondragon@example.com,1-034-047-0585x149,"Ampliación Castillo 839 662, Aguascalientes, Ags.San Cristobal los bajos, COAH 65373-7320",MPGO02
CLI00144,Ernesto José Eduardo Acuña,montalvomauro@example.net,1-183-227-2757,"Pasaje Tlaxcala 683 Interior 534, Aguascalientes, Ags.San Cynthia los bajos, MICH 30303-4524",MPGO01
CLI00145,Eugenio de la O,rodrigo94@example.com,04296985880,"Viaducto Andorra 844 Interior 202, Aguascalientes, Ags.Nueva Camboya, SON 40537",MPGO01
CLI00146,Santiago Noelia Naranjo Padrón,fhernandes@example.net,02281610049,"Calle Baja California Sur 955 Edif. 231 , Depto. 595, Aguascalientes, Ags.Nueva India, CAMP 71793-0034",MPGO01
CLI00147,Alfonso Nájera,fsanchez@example.org,09051050588,"Circunvalación Ávila 385 Edif. 965 , Depto. 141, Aguascalientes, Ags.Vieja Andorra, YUC 61367",MPGO03
CLI00148,Sr(a). Marcos Linares,bianca34@example.com,341-012-4849,"Pasaje Norte Villalpando 013 Interior 630, Aguascalientes, Ags.San Sandra los altos, GRO 83667-2398",MPGO01
CLI00149,Ana Hinojosa Arenas,kcolunga@example.org,(546)564-7169x123,"Viaducto Nuevo León 813 862, Aguascalientes, Ags.Nueva Sri Lanka, CAMP 01215-0014",MPGO03
CLI00150,Sessa Rodarte,batistaoliver@example.com,988.903.6821x208,"Diagonal Vásquez 666 Edif. 112 , Depto. 028, Aguascalientes, Ags.Nueva Camboya, OAX 96971",MPGO03
CLI00151,Camila Joaquín Guevara,aldoaguilera@example.org,1-825-802-1026,"Ampliación Sur Barela 735 Interior 837, Aguascalientes, Ags.San Celia de la Montaña, SIN 02996",MPGO04
CLI00152,Hilda Olmos,pachecomateo@example.com,+12(7)1894068404,"Circunvalación Fuentes 798 523, Aguascalientes, Ags.San Alberto los altos, SIN 92228",MPGO01
CLI00153,Ramón Partida Tejada,clementeverduzco@example.com,417-404-5916,"Periférico Paraguay 000 504, Aguascalientes, Ags.Nueva Panamá, SLP 11385-3673",MPGO03
CLI00154,Guadalupe Zambrano Almanza,corneliorojo@example.com,256-228-6729x86180,"Viaducto Norte Lugo 195 Edif. 464 , Depto. 383, Aguascalientes, Ags.Vieja Sudán, MICH 99706-1713",MPGO04
CLI00155,Raquel Juan Oquendo Munguía,sergiobaca@example.net,794-307-5490x792,"Circunvalación Delgadillo 210 Edif. 881 , Depto. 965, Aguascalientes, Ags.San Fidel de la Montaña, DF 05030",MPGO04
CLI00156,Graciela Gerónimo Ordóñez,mitzyvaca@example.org,1-903-614-7791,"Pasaje Sur Collado 457 Edif. 931 , Depto. 797, Aguascalientes, Ags.Nueva Cuba, AGS 14091",MPGO04
CLI00157,Lorena Eloisa Zaragoza,esmeralda76@example.org,07301148846,"Retorno Saldivar 491 924, Aguascalientes, Ags.Nueva Líbano, TAB 77372-9328",MPGO04
CLI00158,René Olmos,pedrozaraul@example.org,627-453-8409,"Ampliación Norte Guardado 088 Edif. 099 , Depto. 118, Aguascalientes, Ags.Vieja Camerún, CHIH 36918",MPGO04
CLI00159,Mtro. Débora Estrada,gutierrezalejandra@example.net,(222)620-2622x9304,"Calzada Durango 440 Interior 667, Aguascalientes, Ags.San José Carlos los bajos, VER 46048",MPGO02
CLI00160,Mtro. Luis Fernández,jacinto08@example.org,599-906-5666x1707,"Calzada Nieves 856 Edif. 933 , Depto. 460, Aguascalientes, Ags.San Daniela los altos, PUE 85695",MPGO03
CLI00161,Mario Espinosa Cano,villalpandosessa@example.org,119.146.6208x6315,"Circuito Ayala 676 Interior 744, Aguascalientes, Ags.San Arcelia los bajos, DGO 83890-6550",MPGO01
CLI00162,Cristina Miramontes de la O,resendezenrique@example.net,433-573-2607x04018,"Calzada Sur Maldonado 302 587, Aguascalientes, Ags.Vieja Grecia, DF 91452-6474",MPGO02
CLI00163,Isabel Lugo,vanesa27@example.org,1-022-153-1833x9649,"Retorno Israel 021 432, Aguascalientes, Ags.San Paola los altos, DGO 10417",MPGO03
CLI00164,Mtro. Ignacio Calderón,dulce-maria06@example.com,593-909-5294x240,"Calzada Yucatán 471 Edif. 153 , Depto. 234, Aguascalientes, Ags.San Rubén los bajos, YUC 41533-3747",MPGO02
CLI00165,Ing. Omar Gálvez,ibarragan@example.net,022-818-0979x8508,"Pasaje Jalisco 927 Edif. 718 , Depto. 965, Aguascalientes, Ags.San Reina de la Montaña, AGS 16579",MPGO01
CLI00166,Ramiro Olivera Arevalo,carguello@example.com,1-227-512-1051,"Prolongación Sur de la Fuente 732 Edif. 866 , Depto. 544, Aguascalientes, Ags.San María José los bajos, DF 64904-5150",MPGO02
CLI00167,Humberto Salma Meléndez,pascual26@example.com,+95(5)2766654302,"Circunvalación Yucatán 789 Edif. 627 , Depto. 234, Aguascalientes, Ags.Nueva Barbados, CHIH 63402",MPGO02
CLI00168,Martín Pamela Rodarte Lara,tomas14@example.org,06129812290,"Pasaje Norte Sotelo 748 Edif. 554 , Depto. 487, Aguascalientes, Ags.Nueva Belice, NL 13148-4828",MPGO04
CLI00169,Rosa Paulina Solorzano Terrazas,carla98@example.org,1-795-828-4038x3387,"Periférico Alvarado 092 Edif. 977 , Depto. 947, Aguascalientes, Ags.Vieja Eslovenia, MEX 22631-6581",MPGO02
CLI00170,Hilda Blanca Tovar,hpadilla@example.com,(067)472-1496x7032,"Diagonal Campeche 632 Edif. 463 , Depto. 192, Aguascalientes, Ags.San Guadalupe los altos, CAMP 78649-3638",MPGO01
CLI00171,Jos Rocío Farías,lpatino@example.com,447.282.8766x200,"Callejón Nayarit 271 109, Aguascalientes, Ags.Vieja Países Bajos, SON 21996-9011",MPGO03
CLI00172,Ofelia Valles,bespinal@example.org,1-514-113-9257x5551,"Ampliación Rosario 285 812, Aguascalientes, Ags.San Elvia los altos, YUC 19922-4943",MPGO04
CLI00173,Mariano Ontiveros Lemus,jacobo53@example.net,536.122.0996x67381,"Ampliación Querétaro 121 Edif. 299 , Depto. 640, Aguascalientes, Ags.Vieja Malta, SIN 96453",MPGO01
CLI00174,Virginia Tórrez,malaveelsa@example.org,07048970367,"Boulevard Saldaña 479 Interior 106, Aguascalientes, Ags.Nueva Costa Rica, NL 43402-8907",MPGO03
CLI00175,Abelardo Aparicio,xtoro@example.net,1-857-497-2870x33474,"Peatonal del Río 342 341, Aguascalientes, Ags.Nueva Angola, OAX 84017",MPGO02
CLI00176,Rubén Juan Padilla,nzapata@example.org,1-539-811-7040,"Cerrada Durango 763 Interior 122, Aguascalientes, Ags.Vieja República Árabe Siria, COAH 44243",MPGO03
CLI00177,Tania Verónica Henríquez Bernal,manuel46@example.com,+05(8)2698895959,"Diagonal Chiapas 121 Edif. 325 , Depto. 957, Aguascalientes, Ags.Vieja Lituania, MEX 86910",MPGO03
CLI00178,Mayte César Terán Ledesma,trevinoleonel@example.org,151-668-3649x6548,"Periférico Sinaloa 373 Edif. 016 , Depto. 857, Aguascalientes, Ags.Nueva Kiribati, ZAC 61919",MPGO02
CLI00179,Claudio Rubén Valadez Alejandro,umontalvo@example.com,1-468-381-6117,"Boulevard Papua Nueva Guinea 327 Edif. 671 , Depto. 424, Aguascalientes, Ags.Vieja Colombia, MEX 48473-5491",MPGO01
CLI00180,Francisco Ferrer Durán,pinaabraham@example.net,(988)486-2369x19709,"Circuito Portugal 745 554, Aguascalientes, Ags.Vieja República Checa, COL 62648",MPGO02
CLI00181,Aldonza Caridad Muñoz,rzavala@example.com,1-437-673-5912,"Calle Valadez 971 Edif. 627 , Depto. 204, Aguascalientes, Ags.Nueva Tuvalu, SIN 81506",MPGO04
CLI00182,Sr(a). Virginia Quiroz,armando62@example.net,(046)956-2202x32694,"Diagonal Lozada 445 741, Aguascalientes, Ags.San Amanda de la Montaña, TLAX 64867",MPGO02
CLI00183,Sr(a). Eva Hurtado,ramonabel@example.org,1-301-359-8099x236,"Avenida Durán 896 807, Aguascalientes, Ags.Vieja Camerún, GTO 08956",MPGO04
CLI00184,Isabela Wendolin Barela Castañeda,mariana69@example.com,746.524.6897,"Viaducto Guanajuato 319 Edif. 556 , Depto. 435, Aguascalientes, Ags.Nueva Comoras, VER 43920-3087",MPGO02
CLI00185,Octavio Razo,renatopalomo@example.com,876.045.5269x20934,"Circunvalación Antigua y Barbuda 256 Interior 092, Aguascalientes, Ags.Vieja Colombia, TLAX 38970",MPGO03
CLI00186,Rubén Rodríguez Calderón,wendolinrico@example.net,1-259-661-9986,"Pasaje Sur Soto 763 Interior 820, Aguascalientes, Ags.San Rosa los altos, GRO 41792-8204",MPGO03
CLI00187,Lucas Claudio Chacón,oswaldo92@example.org,+77(0)4062880884,"Calzada Pacheco 276 Interior 424, Aguascalientes, Ags.San José de la Montaña, GTO 79277-5302",MPGO02
CLI00188,Ing. Aurelio Jimínez,elizondoevelio@example.org,06814599725,"Calle Serbia 498 749, Aguascalientes, Ags.Vieja Gambia, ZAC 91627",MPGO03
CLI00189,Isabel Rodrígez,claragracia@example.net,1-180-264-4880,"Andador Norte Alvarez 652 Edif. 957 , Depto. 859, Aguascalientes, Ags.San Conchita de la Montaña, QRO 27879-9188",MPGO02
CLI00190,Mariana Armenta Ávalos,del-valledelia@example.org,769-784-2232x96099,"Prolongación Treviño 227 635, Aguascalientes, Ags.Nueva Ucrania, CHIH 21595",MPGO01
CLI00191,Lic. Yuridia Toro,fidel58@example.com,(780)926-1801,"Circunvalación Sur Casas 588 Interior 071, Aguascalientes, Ags.Vieja Pakistán, DF 44765",MPGO01
CLI00192,Sr(a). Abelardo Espinoza,sosaabigail@example.org,1-211-945-8192x432,"Circuito Norte Bañuelos 766 516, Aguascalientes, Ags.Vieja Belarús, MOR 37740-0822",MPGO01
CLI00193,Julio Dulce María Perea Abreu,judithcollado@example.org,376.045.8441x35004,"Viaducto Ríos 497 Interior 440, Aguascalientes, Ags.Nueva Santa Lucía, SIN 11165-9428",MPGO03
CLI00194,Martín Patiño,nmarrero@example.com,803.039.0817,"Privada China 319 Edif. 791 , Depto. 386, Aguascalientes, Ags.San Minerva los altos, MEX 82865-4076",MPGO03
CLI00195,Mtro. Jos Villagómez,rocio89@example.org,1-053-187-0886x592,"Callejón Chávez 065 Edif. 900 , Depto. 127, Aguascalientes, Ags.San Marco Antonio los altos, NAY 35584-3067",MPGO04
CLI00196,Alicia Wendolin de Jesús,alejandrasantacruz@example.net,1-284-024-6467,"Privada Casárez 639 Interior 455, Aguascalientes, Ags.Nueva Croacia, ZAC 79887",MPGO03
CLI00197,María Elena Úrsula Orozco Zapata,julioterrazas@example.net,1-451-126-5269,"Circunvalación República Árabe Siria 363 065, Aguascalientes, Ags.Vieja Alemania, SLP 33252",MPGO03
CLI00198,Ricardo Luevano,gallardorodolfo@example.com,(910)589-3526x29816,"Avenida Montez 050 Interior 811, Aguascalientes, Ags.Vieja Malta, VER 35705-5940",MPGO03
CLI00199,Sr(a). Florencia Granados,rangelsessa@example.org,(725)456-0779,"Circuito Jalisco 352 Edif. 319 , Depto. 582, Aguascalientes, Ags.Nueva Liechtenstein, TLAX 47804-7718",MPGO03
CLI00200,Emiliano Barrera,granadosmodesto@example.com,533.910.5547,"Andador Sur Cantú 883 Interior 610, Aguascalientes, Ags.San Gerónimo los altos, TAMPS 78321",MPGO03
CLI00201,Felix Vigil,tomascarranza@example.org,(694)900-1732,"Privada Hidalgo 306 Interior 581, Aguascalientes, Ags.San Alberto los bajos, NAY 94407",MPGO01
CLI00202,Mariano Ramiro Medrano,razowilfrido@example.org,(708)702-6271x91071,"Pasaje Quintana Roo 010 800, Aguascalientes, Ags.Vieja Chipre, NAY 83191",MPGO02
CLI00203,José María Adriana Jáquez,covarrubiasivan@example.com,806-232-4151x336,"Eje vial Saint Kitts y Nevis 222 448, Aguascalientes, Ags.San Abril los altos, MEX 87812-7135",MPGO01
CLI00204,Laura Indira Reyes Meza,unino@example.org,02973471214,"Calle Sur Cotto 399 Interior 512, Aguascalientes, Ags.Vieja Myanmar, DGO 01202",MPGO03
CLI00205,Mtro. Antonio Reyes,zambranoalfredo@example.org,+55(9)0474695700,"Diagonal Veracruz de Ignacio de la Llave 053 558, Aguascalientes, Ags.San Paola de la Montaña, CHIH 21413-9247",MPGO03
CLI00206,Yeni Amanda Madrigal Castillo,javierpaez@example.com,1-965-766-7799x6845,"Calle Colima 155 940, Aguascalientes, Ags.Vieja Montenegro, GRO 65126",MPGO04
CLI00207,Martín Mónica Peralta Reyna,barbaraarmenta@example.org,1-440-889-3826x6482,"Corredor Sonora 883 Edif. 517 , Depto. 365, Aguascalientes, Ags.San Dulce los altos, OAX 62856",MPGO01
CLI00208,Ing. José Carlos Farías,esparta61@example.org,1-127-639-1254x838,"Retorno Comoras 070 Edif. 382 , Depto. 760, Aguascalientes, Ags.San Bernardo de la Montaña, QRO 33996-9254",MPGO01
CLI00209,Miguel Ángel Villaseñor,iestevez@example.org,847-080-0005,"Retorno Sur Zavala 459 338, Aguascalientes, Ags.San Horacio los altos, ZAC 43311-6462",MPGO02
CLI00210,Emilio Celia de la Crúz Márquez,cristinaperez@example.net,(238)872-5933x84851,"Circuito Timor-Leste 627 924, Aguascalientes, Ags.San Rolando los bajos, JAL 84116",MPGO03
CLI00211,Abraham Pablo Ramón Nava,federicoroque@example.org,(024)529-1426x79833,"Corredor Guerrero 462 879, Aguascalientes, Ags.San Mauro de la Montaña, AGS 63084",MPGO04
CLI00212,Arcelia Puga,claudia11@example.net,+04(7)2718324420,"Avenida Tabasco 067 864, Aguascalientes, Ags.San Socorro de la Montaña, TAB 13082-9870",MPGO02
CLI00213,Mtro. Citlali Loera,gamboacamilo@example.org,(123)129-7329x7016,"Boulevard Alemania 472 993, Aguascalientes, Ags.Vieja República Centroafricana, NAY 63136",MPGO04
CLI00214,Adela Urrutia Cortés,rolonmariana@example.com,057-085-8989x6980,"Prolongación Tabasco 342 Edif. 675 , Depto. 851, Aguascalientes, Ags.San Karla de la Montaña, SON 19582-3862",MPGO02
CLI00215,Ángela Gabriela Sanabria Aragón,cmartinez@example.com,+85(2)4946596029,"Diagonal Kazajstán 805 Edif. 485 , Depto. 141, Aguascalientes, Ags.San Mauro los bajos, JAL 20199-7767",MPGO02
CLI00216,Zoé Fidel Lerma,jimenezserafin@example.net,(814)936-9663,"Periférico Sur Soria 891 Interior 091, Aguascalientes, Ags.San Ángela los bajos, HGO 25720-4503",MPGO03
CLI00217,Antonio Débora Dueñas,gpalomino@example.net,626.604.0813x9417,"Cerrada Querétaro 995 Interior 973, Aguascalientes, Ags.San Celia los bajos, COAH 34641",MPGO01
CLI00218,Tomás Carla Olivas Santillán,rosalialeiva@example.com,987.881.3264x120,"Calle Reynoso 822 Edif. 583 , Depto. 593, Aguascalientes, Ags.San Omar de la Montaña, JAL 96017",MPGO04
CLI00219,Lic. Carlota Pacheco,hector22@example.org,1-283-148-5199x532,"Boulevard Sur Cavazos 956 849, Aguascalientes, Ags.Nueva Arabia Saudita, MEX 92989-9546",MPGO03
CLI00220,Lic. Renato Almonte,solorzanojulio@example.org,877-372-0798,"Andador Sur Patiño 597 Edif. 794 , Depto. 974, Aguascalientes, Ags.Nueva Bosnia y Herzegovina, SON 62024",MPGO01
CLI00221,Armando Archuleta,jonas37@example.com,317.778.8666x60060,"Callejón Sur Cintrón 372 965, Aguascalientes, Ags.San Norma los altos, QRO 91711",MPGO02
CLI00222,Citlali Galván,yeniapodaca@example.com,499-722-8259,"Calzada Sur Lugo 812 Edif. 512 , Depto. 989, Aguascalientes, Ags.San Alonso de la Montaña, TAMPS 58497-2260",MPGO01
CLI00223,Lorenzo Villanueva,gerardo61@example.org,442.564.6337x0437,"Peatonal Aguascalientes 255 Edif. 087 , Depto. 850, Aguascalientes, Ags.San Fabiola de la Montaña, CAMP 80951-5363",MPGO03
CLI00224,Sr(a). Rosalia Villaseñor,grijalvamarco-antonio@example.net,(696)309-3598x425,"Calzada Hidalgo 952 Interior 155, Aguascalientes, Ags.San María Cristina los altos, BC 52021-3050",MPGO04
CLI00225,Abel Rodolfo Gonzales Crespo,sanabriaeva@example.net,(501)502-1424x3258,"Boulevard Salcido 735 Interior 645, Aguascalientes, Ags.Nueva Nauru, DGO 84563",MPGO02
CLI00226,Dr. Mitzy Angulo,florencia40@example.com,050.805.6823x0730,"Andador Camboya 560 Edif. 132 , Depto. 055, Aguascalientes, Ags.Nueva Líbano, YUC 62527-5004",MPGO03
CLI00227,Julio César Quesada Toledo,osorioenrique@example.net,1-936-220-3268x43343,"Ampliación Guyana 666 Edif. 024 , Depto. 011, Aguascalientes, Ags.Nueva Burundi, BCS 16986-2293",MPGO01
CLI00228,Mtro. Cristobal Otero,estefaniaangulo@example.org,1-744-051-3437x015,"Periférico Santillán 851 Interior 398, Aguascalientes, Ags.San Amalia de la Montaña, SLP 42673",MPGO02
CLI00229,Rodolfo Pelayo,lcollazo@example.org,400.052.3506,"Circunvalación Coahuila de Zaragoza 404 Interior 197, Aguascalientes, Ags.Nueva Vietman, DGO 88246",MPGO03
CLI00230,Mayte Sessa Cortés,jose-emiliolozano@example.org,1-449-024-7984x31932,"Callejón Hidalgo 723 Edif. 282 , Depto. 938, Aguascalientes, Ags.San Pilar de la Montaña, DF 09852",MPGO01
CLI00231,Mauricio Quintana,castilloasuncion@example.net,(988)114-9149x3822,"Eje vial Olvera 249 Edif. 654 , Depto. 242, Aguascalientes, Ags.San Eloisa de la Montaña, TAB 98521-9611",MPGO04
CLI00232,Mtro. Leonor Saldaña,sherrera@example.com,010.797.0498x742,"Boulevard Coahuila de Zaragoza 534 479, Aguascalientes, Ags.San Fidel los altos, HGO 18959-4604",MPGO02
CLI00233,Gabino Rufino Cervantes,elsaosorio@example.com,1-141-640-0944,"Circunvalación Archuleta 639 651, Aguascalientes, Ags.San José Emilio los bajos, BCS 24312",MPGO03
CLI00234,Leonardo Botello,arturo10@example.net,+46(3)7272709192,"Andador Albania 038 Interior 889, Aguascalientes, Ags.Nueva Maldivas, CHIH 63621",MPGO04
CLI00235,Patricio Marroquín Ortega,mcantu@example.net,1-280-792-9451x318,"Ampliación Kuwait 751 329, Aguascalientes, Ags.San Federico los bajos, VER 50540-6720",MPGO03
CLI00236,Mtro. Roberto Regalado,mario57@example.net,08201996425,"Diagonal Mozambique 726 Edif. 002 , Depto. 588, Aguascalientes, Ags.Vieja Myanmar, TLAX 48734",MPGO02
CLI00237,Mtro. Carla Alcántar,casanovablanca@example.net,+53(4)8121388237,"Eje vial Canadá 291 342, Aguascalientes, Ags.Vieja Guatemala, CHIS 09227-5873",MPGO03
CLI00238,Sr(a). Eloy Valladares,oscar31@example.org,(686)238-2177,"Peatonal Sur Garza 533 Interior 475, Aguascalientes, Ags.Nueva Malasia, AGS 26490",MPGO04
CLI00239,Sessa Inés Batista,isabel88@example.org,(449)448-3740,"Circuito Cabo Verde 348 Edif. 951 , Depto. 086, Aguascalientes, Ags.Nueva Nauru, QRO 52617",MPGO04
CLI00240,Guadalupe Verduzco,georgina94@example.org,386.587.1324x685,"Circuito Norte Báez 375 Interior 304, Aguascalientes, Ags.San Santiago los altos, TLAX 56184-0086",MPGO03
CLI00241,Sessa Zedillo,hernan87@example.com,06446142731,"Callejón Kazajstán 519 Edif. 038 , Depto. 015, Aguascalientes, Ags.San Gustavo de la Montaña, MICH 99567",MPGO01
CLI00242,Patricio María Luisa Borrego,mercadopaola@example.com,059.238.3833x7332,"Ampliación Coahuila de Zaragoza 172 557, Aguascalientes, Ags.San Anabel los bajos, NAY 48243",MPGO04
CLI00243,Raquel Fidel Jaime,tsauceda@example.org,556-436-2227,"Corredor Nuevo León 212 Interior 790, Aguascalientes, Ags.Nueva República Federal Democrática de Nepal, QRO 10736-2385",MPGO04
CLI00244,Susana Juárez Vaca,uvera@example.org,1-192-043-6869x6020,"Boulevard Norte Chapa 096 835, Aguascalientes, Ags.Nueva México, SON 28527",MPGO04
CLI00245,Jaime Leticia Salcedo Alejandro,btamayo@example.org,681-447-6301,"Circuito Irán 088 Interior 903, Aguascalientes, Ags.Vieja Burundi, COL 98763",MPGO03
CLI00246,Dr. Francisca Naranjo,lourdes34@example.com,245-044-2610x1949,"Callejón Brunei Darussalam 142 571, Aguascalientes, Ags.Vieja Nigeria, VER 91635-9458",MPGO03
CLI00247,Helena Roybal,sleiva@example.org,1-820-593-1507x3523,"Circunvalación San Luis Potosí 303 Interior 030, Aguascalientes, Ags.Vieja Papua Nueva Guinea, SON 92673-3420",MPGO01
CLI00248,Francisco Juana Navarrete,guadalupearmenta@example.org,+72(1)0529099987,"Boulevard Razo 624 Edif. 858 , Depto. 807, Aguascalientes, Ags.Nueva Madagascar, TAMPS 00876",MPGO04
CLI00249,Lic. Miriam Tirado,nayelirosales@example.org,999-481-7613x357,"Retorno Costa Rica 815 Edif. 884 , Depto. 566, Aguascalientes, Ags.San Úrsula los altos, COL 42764-4836",MPGO01
CLI00250,Manuel Alta  Gracia Carrillo Linares,carreroagustin@example.org,073.870.4789x31838,"Prolongación Alba 944 470, Aguascalientes, Ags.Nueva República de Macedonia del Norte, BCS 42492-8571",MPGO03
CLI00251,Rafaél Adame Cotto,gironcarla@example.net,1-396-234-4555x95793,"Diagonal Norte Macías 468 Edif. 438 , Depto. 063, Aguascalientes, Ags.San Israel de la Montaña, MICH 36052",MPGO04
CLI00252,Estela Orosco,aortega@example.com,+23(6)3056186882,"Cerrada Nayarit 020 Interior 457, Aguascalientes, Ags.Vieja Azerbaiyán, PUE 89174-9203",MPGO02
CLI00253,Alicia Diana Estrada,quinteroabril@example.com,085.896.7443x3266,"Peatonal Morelos 051 914, Aguascalientes, Ags.San Amador de la Montaña, DF 48560",MPGO04
CLI00254,Juan Pedro Jaime Olmos,tsantacruz@example.org,1-829-501-8314,"Eje vial Jaimes 913 Edif. 422 , Depto. 477, Aguascalientes, Ags.San Ernesto de la Montaña, MICH 21257",MPGO01
CLI00255,Timoteo Eric Muro Velásquez,yolanda01@example.org,(865)023-2260x0850,"Retorno Norte Paredes 395 779, Aguascalientes, Ags.San Felipe los altos, COL 93661",MPGO03
CLI00256,Irma Jáquez Ibarra,javier67@example.org,087-336-3098,"Calzada San Luis Potosí 449 Edif. 858 , Depto. 712, Aguascalientes, Ags.Nueva Nueva Zelandia, TLAX 87587-0465",MPGO01
CLI00257,Guillermo Carrillo,alta-graciamarroquin@example.org,(895)269-6160x620,"Boulevard Guerrero 460 Interior 739, Aguascalientes, Ags.Vieja Nueva Zelandia, Q. ROO 88567",MPGO03
CLI00258,Leonor Puga Meza,alfredorobles@example.net,980-661-8032x30643,"Eje vial Estonia 829 237, Aguascalientes, Ags.San Maximiliano de la Montaña, SIN 53457",MPGO03
CLI00259,Cristian Raya,gutierrezmanuel@example.net,372.968.1735x2224,"Calzada Aguascalientes 498 256, Aguascalientes, Ags.San Martha de la Montaña, SLP 60021-8652",MPGO04
CLI00260,Victoria Pascual Reyna Naranjo,carlotabenavidez@example.net,377-016-0787x86489,"Periférico Federación de Rusia 688 933, Aguascalientes, Ags.Nueva Tayikistán, GRO 63899",MPGO01
CLI00261,Omar Mayte García,georgina31@example.org,791.024.6446,"Privada Sepúlveda 895 881, Aguascalientes, Ags.San Julio César los bajos, COL 55794",MPGO03
CLI00262,Juan Carlos Indira Negrete,espartaco71@example.com,857.589.8335,"Cerrada Oaxaca 610 812, Aguascalientes, Ags.San Jesús de la Montaña, COAH 41243-8309",MPGO02
CLI00263,Flavio Laura Padrón Limón,elaboy@example.org,07001363079,"Continuación Norte Alfaro 163 Interior 605, Aguascalientes, Ags.San Citlali los bajos, NAY 76735-1257",MPGO01
CLI00264,Víctor Quintana Montez,taviles@example.net,052-112-3542x5267,"Avenida Norte Carrasco 599 701, Aguascalientes, Ags.Vieja Myanmar, QRO 42126",MPGO02
CLI00265,Dr. Pedro Riojas,ncarrero@example.com,1-372-670-0837x69780,"Andador Sur Mascareñas 579 575, Aguascalientes, Ags.Nueva Italia, GRO 78270-2842",MPGO01
CLI00266,Débora Flórez Curiel,benjamin83@example.com,731.194.3198x89952,"Privada Sur Colunga 201 494, Aguascalientes, Ags.Nueva Madagascar, MEX 00462-8467",MPGO01
CLI00267,Bernardo Ruby Torres,martinezisaac@example.org,620-606-7183x925,"Calle Solís 723 Edif. 753 , Depto. 897, Aguascalientes, Ags.San Óscar de la Montaña, SIN 49341-2906",MPGO01
CLI00268,Dr. Martha Carrión,almanzamitzy@example.org,(572)056-1699x467,"Circuito Casárez 798 601, Aguascalientes, Ags.San María Cristina los altos, QRO 26908",MPGO02
CLI00269,Homero Patricia Gil,pgutierrez@example.com,1-878-951-9682x5194,"Retorno Treviño 906 Interior 617, Aguascalientes, Ags.San María Elena los bajos, QRO 28353",MPGO04
CLI00270,María del Carmen Solorio,zeferino79@example.org,1-645-544-2564x7682,"Viaducto Sinaloa 884 Edif. 603 , Depto. 259, Aguascalientes, Ags.San Rolando los bajos, VER 37349-8904",MPGO01
CLI00271,Silvano Salvador Gaitán Segovia,zalmonte@example.org,07648591636,"Andador Aguascalientes 152 Interior 391, Aguascalientes, Ags.Nueva Georgia, NL 44020-4481",MPGO03
CLI00272,Helena Rosario Macías Tamayo,cristina74@example.net,330.934.2284x9749,"Calle Quesada 839 802, Aguascalientes, Ags.San Leonel los altos, YUC 50969",MPGO04
CLI00273,Sr(a). Teresa Rentería,pmontanez@example.org,(827)638-1117x903,"Callejón Durango 854 Interior 257, Aguascalientes, Ags.Nueva Vietman, ZAC 36797-0510",MPGO04
CLI00274,Luisa Merino Leyva,gmelgar@example.org,+22(5)2404589277,"Peatonal Sinaloa 720 Interior 181, Aguascalientes, Ags.Vieja Venezuela, DF 23322",MPGO04
CLI00275,Eugenio Fierro,emilia02@example.org,316.623.6934x08722,"Privada Meléndez 681 Interior 261, Aguascalientes, Ags.San Inés de la Montaña, AGS 86039",MPGO03
CLI00276,José Eduardo Olmos,salma10@example.com,1-757-614-5051x3801,"Ampliación Tafoya 207 Interior 468, Aguascalientes, Ags.Nueva Togo, JAL 44995-9835",MPGO02
CLI00277,Isabela Felix Balderas,maria-luisa32@example.com,845-641-1910x094,"Retorno Campeche 488 329, Aguascalientes, Ags.Nueva Liechtenstein, GTO 23412",MPGO02
CLI00278,Yeni Girón,judithgonzales@example.org,03677905277,"Eje vial San Vicente y las Granadinas 566 464, Aguascalientes, Ags.San Antonia los altos, ZAC 77830",MPGO04
CLI00279,Natividad Ariadna Ledesma,martinzedillo@example.org,089.885.9252,"Callejón Iglesias 505 203, Aguascalientes, Ags.San Pamela los bajos, CHIS 95040-5577",MPGO01
CLI00280,Olga Quesada,cristalpalomo@example.com,(518)440-8562x406,"Pasaje Baja California Sur 279 Edif. 084 , Depto. 840, Aguascalientes, Ags.San Sergio los altos, MEX 77255",MPGO01
CLI00281,Eugenia Olmos Villalpando,velascoleticia@example.com,164.811.7817,"Diagonal Colunga 315 Edif. 886 , Depto. 243, Aguascalientes, Ags.Nueva Ucrania, COAH 90303",MPGO02
CLI00282,Luz Suárez,micaela71@example.org,540.827.5568,"Circuito Sur Gastélum 060 156, Aguascalientes, Ags.San María Teresa los altos, COL 93126",MPGO02
CLI00283,Débora Irma Mateo,luisrenteria@example.net,441-265-2515,"Circunvalación República Checa 995 Edif. 937 , Depto. 296, Aguascalientes, Ags.San Ángel los altos, HGO 24982-7593",MPGO01
CLI00284,Miriam Susana Guajardo,augustoceja@example.com,06884733093,"Viaducto Balderas 813 589, Aguascalientes, Ags.San Micaela los altos, BCS 18926-5264",MPGO03
CLI00285,Mercedes García Olmos,ymunoz@example.org,(444)759-4608,"Ampliación Valverde 392 Interior 155, Aguascalientes, Ags.Vieja Somalia, DF 79577",MPGO04
